KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-01,73.76,A,F,,Introduction of harmonised treatment of price reductions in Luxembourg as of Jan99,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-02,73.94,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-03,74.15,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-04,74.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-05,74.45,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-06,74.45,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-07,74.58,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-08,74.67,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-09,74.71,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-10,74.74,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-11,74.84,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,1999-12,75.09,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-01,75.13,A,F,,Introduction of harmonised treatment of price reductions in Belgium as of Jan00,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-02,75.37,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.U2.N.000000.4.INX,M,U2,N,000000,4,INX,2000-03,75.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.EA.00.M,,,,2015 = 100,,,2,,HICP - Overall index,"Euro area (changing composition) - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
